subject,subject_en,type
Ueberraschende Abonnementgebuehr erschienen unverhofft auf Konto,Unusual subscriber appeared unexpected on account,Incident
Unterstützung für Projektmanagementfunktionen in bestehenden Produkten,Support for project management functions in existing products,Change
Rat zur Wahl von Datenanalysewerkzeugen für Anlageoptimierung,Council for the selection of data analysis tools for facility optimization,Request
Nachricht über Systemausfall an Kundendienst,Message about system failure in customer service,Incident
Verbesserung Ihrer Investitionsbeteiligungen durch maschinelles Lernen,Improving your investment participation through machine learning,Change
Unvorhergesehener Absturz des Laptops,Unprecedented suspend of laptop,Incident
Informationen über die Sicherheit medizinischer Daten auf Smart Home-Hub-Geräten,Information about the safety of medical data on Smart Home Hub devices,Request
Integration Problem,Integration Problem,Incident
Anfrage zur technischen Unterstützung,Application for technical assistance,Incident
Medizinische Sicherheitsmaßnahmen,Medical safety measures,Request
Datenschutzprobleme beheben,Limit data protection problems,Incident
Suche nach Werkzeugen für financielle Datenanalyse,Search for financial data analysis tools,Request
Problematik bei Projektdaten,Problem with project data,Incident
Projekt lädt nicht,Project does not support,Incident
[NO_SUBJECT],[NO_SUBJECT],Change
Steigerung der Markennäherung im Internet-Segment,Increase branding in Internet segment,Request
Problem mit der Website unserer Markenagentur melden,Report a problem with the website of our brand agency,Incident
Sicherheit von Docker bei Verarbeitung medizinischer Daten gemäß HIPAA,Safety of docker when processing medical data according to HIPAA,Request
Beratung zu Sicherung medizinischer Daten auf IBM Cloud,Advice on the protection of medical data on IBM Cloud,Request
Strategien für den steigenden Marktanteil,Strategy for the growing market share,Request
Können Sie spezifische Sicherheitsmaßnahmen für die Verschluesselung von medizinischen Daten in Krankenhäusern-IT-Systemen bereitstellen?,Can you provide specific safety measures to close medical data in hospitals IT systems?,Request
Digitale Strategie für Wachstum,Digital strategy for growth,Request
Sichere medizinische Daten in Salesforce,Safe medical data in Salesforce,Request
Fragen zu Unternehmensrichtlinien für Fernarbeit und Flexibilität,Questions on corporate policies for teleworking and flexibility,Request
Anfrage zur Unterstützung von Routern,Request for the support of routers,Problem
Problematik mit mehreren Abonnements,Problems with multiple subscriptions,Incident
Entdeckung von Sicherheitsverletzung bei IT-Systemen,Discovery of safety damage in IT systems,Incident
Ihr Dashboard weist einen Fehler auf - Bitte Unterstützung,Your Dashboard shows an error - Please support,Incident
Bmeldung zur Verfügbarkeit medizinischer Daten aufgrund eines Rechnungsfehlers,Notification of availability of medical data due to an accounting error,Incident
Probleme im Projekt,Problems in the project,Incident
Datensperren-Problem,Data Scrubbing Problem,Incident
Informationen zu Tarifoptionen,Information on tariff options,Request
Umgang mit SaaS-Integrationen,Relationship with SaaS integration,Request
Hilfe bei der Sicherstellung von medizinischen Daten für HTC Vive Cosmos VR Kopfgeräte,Help in ensuring medical data for HTC Vive Cosmos VR headphones,Request
Technische Anrufbetreff: Unautorisierten Zugriff auf Krankenhausauftritte,Technical reference: Unauthorised access to hospitals,Incident
Schutz medizinischer Daten,Protection of medical data,Request
Unerwartete Abbuchung,Unexpected Cancellation,Problem
Problem mit dem Datenanalysewerkzeug,Problem with the data analysis tool,Problem
Datensperre in Medikationsdateisystem,Data Close in Medical File System,Problem
Problem mit dem Rechnungsbetrag in der Online-Version,Problem with the calculation amount in the online version,Incident
Anfrage zur Unterstützung bei Datenverletzungen,Request for data damage support,Problem
Folgeaufgabe Unterstützung bei Datenverletzungen,Follow-up support for data damages,Incident
Optimierung,Optimisation,Change
Problem mit Integrationstools,Problem mit Integrationstools,Incident
Login-Probleme beheben,Disable Logging In,Incident
Optionen für die Integration von TensorFlow in das SaaS-Projekt,Options for the integration of TensorFlow into the SaaS project,Request
Support für digitale Marketing-Kampagnen,Support for digital marketing campaigns,Incident
Probleme bei der Aktualisierung der Investment-Models in Canvas,Problems in updating investment models in Canvas,Problem
Bekräftigung von Anfrage zur Unterstützung bei Sicherheitslücken,Confirmation of a request for assistance in case of security failures,Incident
Problem mit den Datenbeschränkungen,Problem with data restrictions,Incident
Rechnungsstelle,Account settings,Problem
Anforderungen für Terraform-Integration in Ihrem Projektmanagement-SaaS,Requirements for Terraform integration in your project management SaaS,Request
Support-Anfrage für digitale Kampagnen,Support request for digital campaigns,Incident
Botschaft zur Verletzung der Datenschutzvorschriften in Bezug auf Datenverlust,Message to damage data protection regulations in relation to data loss,Incident
Anfrage zur Behebung von Login-Problemen Kundendienst,Request for confirmation of Login problems Customer service,Incident
Verbesserung der Datenanalyse-Tools und Investitionsstrategien,Improving data analysis tools and investment strategies,Change
Unterstützung für die Integration von Scikit-learn in Laravel 8 für Investmentanalyse,Support for integration of Scikit-learning in Laravel 8 for investment analysis,Request
Mitteilung über medizinische Datensperre Ereignis,Notification of medical data barrier event,Incident
Details zu Projektmanagement SaaS-Funktionen,Details about project management SaaS features,Request
Nachricht zum Verschlüsselungsfehler,Message with Encryption Error,Incident
Ungültige Investment-Modellierungs-Ausgaben,Invalid investment modelling expenditure,Incident
Optimierung von Investitionsstrategien mit Hilfe verfügbarer Datenanalysetools,Optimisation of investment strategies using available data analysis tools,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
ClickUp-Integration ist plötzlich gescheitert,ClickUp integration is suddenly split,Incident
"Geehrte Kundenservice, unerwartete Datenverletzungen im medizinischen Datensicherheitssystem melden. Mögliche Ursachen: veraltete Software oder Konfigurationsfehler. Sicherheitsaudits und Softwareupgrades wurden durchgeführt, jedoch bestehen weiter Probleme. Hilfe zur Lösung der Angelegenheit schätzen, eine schnelle Lösung ist dringend erforderlich. Vielen Dank für Ihre Aufmerksamkeit beim dringenden Problem.","Secure customer service, unexpected data damage in the medical data security system. Possible causes: outdated software or configuration errors. Security audits and software upgrades have been carried out, but there are still problems. Help to assess the problem, a quick solution is urgently needed. Thank you for your attention to the pressing problem.",Problem
Technische Sorge über WLAN-Router,Technical concerns about WLAN router,Incident
Betreff: Meldung über Absturz der Projektmanagement-Software,Subject: Disclosure of project management software,Incident
Verbesserung der Datensicherung für medizinische Unterlagen in Smart-Licht und Plex,Improving data security for medical data in Smart Light and Plex,Change
Frage zur Integration von Notion,Question on the integration of notation,Request
Probleme mit der Investmentsoptimierungssoftware,Problems with investment optimization software,Incident
Medizinische Datensicherheitsverletzung,Medical safety data damage,Incident
Software Crash,Software Crash,Problem
Bestätigung Erhalt Rechnung,Confirmation receipt account,Problem
Mutmaßliche Datenverletzung durch veraltete Sicherheitssoftware,Compulsory data loss by old security software,Problem
Uneinheitliche Ergebnisse der Investitionsprognose,Unanimity results of the investment forecast,Incident
Bitte optimiere die Serverleistung unverzüglich,Please optimise the server performance immediately,Change
Hilfe bei digitalen Marketingkampagnen,Help in digital marketing campaigns,Incident
Hilfe bei Finanzanalyse-Tool,Financial Analysis Tool,Problem
Bekanntgabe von Rechnungsproblemen in HyperX-Arbeitsgruppen,Notification of accounting problems in HyperX working groups,Incident
JIRA-Integration-Hilfe notwendig,JIRA-Integration-Hilfe notwendig,Request
Unpräzise Investment-Datenaufbereitungsberichte,Inaccurate investment data preparation reports,Problem
Nachricht an den Kundendienst,Message to the Customer Service,Incident
Projekt-Synchronisierung vollständig fehlgeschlagen,Whole project synchronisation failed,Incident
Suche nach Datenanalysewerkzeugen für Investitionsportfolios,Search for data analysis tools for investment portfolios,Request
Kundengemähe bezüglich Integration-Fehlers,Customer information about integration errors,Incident
Vertrauliche Datenexposition bei Kundensupport,Confidential data exposure to customer support,Incident
Probleme mit der Netzwerkverbindung bei Live-Streams gemeldet,Problems reported with Live Streams network connection,Problem
Avid Pro Tools 2021.6 Crash auf Ubuntu,Avid Pro Tools 2021.6 Crash auf Ubuntu,Incident
Anfrage nach Sicherheitsmaßnahmen für medizinische Daten,Application for safety measures for medical data,Request
Krankenhausaufgabe: Verschlüsselungsfehler bei medizinischen Daten,Hospital function: encryption errors in medical data,Incident
Sicherheitsmaßnahmen bei Camtasia in Gesundheitskontexten,Safety measures for Camtasia in health contexts,Request
Rückerstattung mehrerer Produkte aufgrund Kompatibilitätsprobleme,Returning more products due to compatibility problems,Change
Unterstützung für QuickBooks Analytics,QuickBooks Analytics Support,Request
Hilfe bei den Systemanforderungen,Aid in the area of system requirements,Request
Details zur Skalierbarkeit und Integrationsoptionen,Details of scaleability and integration options,Request
Digitale Marketingcampagne hat unsere Erwartungen nicht erreicht,Digital marketing campaign has not met our expectations,Problem
Unterstützung bei der Förderung von Markenwachstum durch digitale Strategien,Support for promoting the growth of brands through digital strategies,Request
Optimierung des Markenwachstums mit Simulink,Optimisation of the mark growth using Simulk,Request
Probleme mit der Softwarekompatibilität,Problems with software compatibility,Incident
Unterstützung bei Anlagemasstabszeiten,Support for plant mass times,Request
Nachricht über Unfall im System,System crash message,Incident
Unerwarteter Fehler in den Markenmanagement-Prozessen,Unexpected error in marker management process,Incident
Unterperformierende digitale Kampagnen - Hilfsmöglichkeiten benötigt,Subforming digital campaigns - help is needed,Incident
Erweiterte Analytik für Markenwachstum,Advanced Analytics for Marking Growth,Change
Aktualisierung der Cassandra 4.0 Datenbankintegration mit MySQL 8.0,Updating Cassandra 4.0 Database integration with MySQL 8.0,Change
Fehler bei Investmentstool,Error in Investment Tool,Incident
Neue Abonnementpläne,New subscription plan,Request
Verbindungsschwerpunkte bei Mesh-Netzwerk-Verbindung,Connection points on Mesh Network Connection,Incident
Informationen über Projektkosten,Information on project costs,Request
Investment-Prognosen funktionieren plötzlich wieder nicht,Investment projections do not function immediately again,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Unkorrekte Gebühren auf der Rechnung,Inadmissibility of fees on account,Problem
Probleme bei der Datenanalyse-Software,Problem with Data Analysis Software,Incident
Sicherheitsprobleme mit medizinischen Daten,Safety problems with medical data,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Forderung für die Erhöhung der Datenanalysefähigkeiten,Requirements for the increase in data analytical capabilities,Change
Frage zur digitalen Strategie für VR-Geräte,Question of the digital strategy for VR devices,Request
Nachhaltige Projektleitungslösungen,Sustainable project management solutions,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Software Störung,Software Updater,Incident
Probleme mit der digitalen Kampagne,Problems with the digital campaign,Incident
Unbefugter Zugriff auf medizinische Daten,Unauthorised access to medical data,Problem
Bestätigung von Datenzugriffsproblem im Hospital IT-System,Confirmation of data access problem in the hospital IT system,Problem
Bitten um Unterstützung bei Systemausfall,Please ask for system crash support,Incident
Sichere medizinische Daten Systeme,Safe medical data systems,Change
Digitale Marketingstrategien für Wachstum,Digital marketing strategies for growth,Request
Verschlüsselungsprobleme im medizinischen Datenverschlüsselungssystem,Encryption problems in medical data encryption system,Incident
Frage zu Sicherheitsprotokollen für medizinische Daten,Question of safety protocols for medical data,Request
Datensperre medizinischer Patientendaten,Data store medical data,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Puppet-Projekt-Support,Puppet Project Support,Change
Verbesserung von Investitionsstrategien durch Datenanalyse,Improving investment strategies through data analysis,Request
Urgente Anfrage,Urgent request,Change
Anpassung der Markenstrategie,Adaptation of the market strategy,Change
Unklare Monatliche Kosten,Disclosure of monthly costs,Incident
Problem mit Digitalkampagnen,Problem with digital campaigns,Incident
OBS Studio Integration Issue,OBS Studio Integration Issue,Incident
Fehler bei Tracking-Werkzeugen,Error in Tracking Tool,Incident
Kritischer Fehler bei der Erzeugung von Projektberichten,Critical error in project reporting,Incident
Unterstützung bei der Nutzung von Investment-Data-Analysis-Tools,Support for the use of investment data analysis tools,Request
Hilfe bei der Datenaufbereitung,Help in the preparation of data,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Probleme mit der Projekt-Synchronisation,Project synchronization problems,Incident
Bewegte Kundenservice: Schwierigkeiten mit unbefugten Zugriffsalarmen und potenziellen Sicherheitslücken bei mehreren Geräten,Moving customer service: Difficulty with unauthorised access alarms and potential security failures on multiple devices,Incident
Medizinische Daten-Sicherheit,Medical data security,Request
Anfrage zur Aktualisierung von IntelliJ IDEA auf die neueste Version,Request to update IntelliJ IDEA on the latest version,Change
Digital Markenentwicklung,Digital Marker Development,Request
Fehlerhafte Synchronisation der Metriken für digitale Kampagnen - Import-Funktion funktioniert immer noch nicht korrekt,Error Synchronization of Metrics for Digital Campaigns - Import function still works not correctly,Problem
Unerlaubter Zugriff auf medizinische Daten,Unauthorised access to medical data,Problem
Probleme mit Integrationsfehlern durch inkonsistente API-Aktualisierungen,Problems with integration errors due to inconsistent API updates,Problem
Optimierung der Benutzerrechte-Einstellungen,Optimisation of user-right settings,Change
Integration von Ulysses und Google Keep für den Synchronisierung von Notizen in der Projektverwaltung,Integration of Ulysses and Google Keep for synchronization of notes in project management,Change
Frage zur Integration von Antenne in Salesforce CRM,Question of integration of antennas into Salesforce CRM,Change
Anfrage zur Sicherheitsunterstützung,Request for security support,Incident
Kundenbetreuung,Customer-Management,Request
Leistungsdienstleistung für SaaS-Plattform gemeldet,Service reported for the SaaS platform,Incident
Vielfältige Integrationsprobleme nach der Aktualisierung,Multiple integration problems after updating,Problem
Anforderungen für das Projektwerkzeug,Requirements for the project tool,Request
Issue mit der Projekt-Synchronisierungseinrichtung,Issue with Project Synchronization Setup,Problem
Probleme mit QuickBooks - unerwartete Kosten aufgrund von Fehlereinstellungen oder falscher Lizenzallokation im Zusammenhang mit der Dokumentenscanner-Benutzung,Problems with QuickBooks - unexpected costs due to error settings or false license location in relation to document scanner use,Incident
Sicherung medizinischer Daten auf Lenovo ThinkPad X1 Carbon mit SAP ERP,Medical data on Lenovo ThinkPad X1 Carbon with SAP ERP,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Hilfe zur Nutzung von Snagit für Marketingstrategien,Aid for the use of Snagit for marketing strategies,Request
Unterstützung bei der Optimierung von Investitionsstrategien für Banken und Finanzinstitute,Support for optimising investment strategies for banks and financial institutions,Request
Hilfe zur Integration von Elasticsearch,Help to integrate Elasticsearch,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
[NO_SUBJECT],[NO_SUBJECT],Change
Folgeanfrage zum Datenanalyse-Instrument,Follow-up to data analysis tool,Change
[NO_SUBJECT],[NO_SUBJECT],Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Unpräzise Investitionsprognosen aufgrund von ungenauen Dateninput,Inaccurate investment projections due to a lack of data input,Problem
Unerwarteter Dienstausfall: Krankenhaus-Systeme betroffen,Unexpected service failure: Hospital system affected,Incident
Probleme mit plötzlich anhaltendem Sichern des Datenanalyse-Dashboards,Problems with sudden maintenance of the data analysis board,Incident
Software-Crash bei digitalen Kampagnen,Crash software on digital campaigns,Incident
Ausrufungszeit Server,Time out served by the server,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Verbesserung der Investitionsanalytik mit Wolfram Mathematica,Improving investment analysis with Wolfram Mathematica,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Ausführen der Aktualisierung der Marketingstrategie,Implementation of the new marketing strategy,Change
Empfohlene Optimierungsstrategien für Alteryx,Recommended optimization strategies for Alteryx,Request
Nötige Unterstützung bei Datenverlust,Necessary support for data loss,Problem
Digitale Optimierung,Digital Optimisation,Change
Fehlende Projekt-Fristen gemeldet,Missing project timed out,Incident
IT-Services Problem,IT-Services Problem,Incident
Investment-Analyse,Investment-Analyse,Incident
Probleme bei den Datenanalyse-Dashboards,Problem with data analysis Dashboards,Problem
Beratung zur Sicherstellung medizinischer Daten in Notion,Advice on the safety of medical data in Notion,Request
Hilfe bei der digitalen Strategie,Help in the Digital Strategy,Change
Problem mit Investment-Rückgangsanalyse,Problem with investment return analysis,Incident
Projektoberflächen Verbesserungen,Project surface improvements,Change
Anfrage zu Zahlungsmöglichkeiten für digitale Marketingdienstleistungen,Request for payment opportunities for digital marketing services,Request
Preisfragen zur WooCommerce-Integration,Price questions for WooCommerce Integration,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Issue,Error while opening audio input device %s.Isue,Incident
Forderung für Technischer Support aufgrund von Synchronisierungsproblemen,Requirements for technical support due to synchronization problems,Problem
Dienstleistungen zur Datenanalytischen Investition,Data-analytic investment services,Request
Verschwiegenheit medizinischer Daten,Lack of medical data,Request
Sicherheitsrichtlinien für MongoDB in Gesundheitsumgebungen,Safety policies for MongoDB in health environments,Request
Hilfe zur Integration von osCommerce erforderlich,Aid for the integration of osCommerce required,Request
Montag-Integration misslingt,Montag-Integration misslingt,Incident
Anfrage nach Umsetzungsdetails für PyTorch,Request for details of implementation for PyTorch,Request
Verbesserung der Investitionsstrategie,Improving the investment strategy,Request
Aktualisierung Ihrer digitalen Marketingwerkzeuge,Updating your digital marketing tools,Change
Fragen zur Zahlungsmöglichkeiten für die QuickBooks-Integration in unsere PM-Software,Questions about payment options for QuickBooks integration in our PM software,Request
Probleme bei den Projektdaten,Project data problems,Incident
Probleme mit der Verbindung des Projektors während Präsentationen,Problems with the connection of the projector during presentations,Incident
Hilfe bei der Analytik erforderlich,Help in Analytics Necessary,Problem
Datenunterschiede bei Support,Data differences in support,Incident
Support SaaS Projekt,SaaS Project Support,Change
Aktualisierung der Produktlisten,Updating the product list,Change
Problem gemeldet bei Datenanalyse-Software heute,Problem reported with data analysis software today,Incident
Probleme bei der medizinischen Datenaufbereitung aufgrund unkompatibler Software-Updates,Problems with medical data preparation due to incompatible software updates,Incident
Probleme bei der Projekt-Synchronisierung,Project synchronization problems,Incident
Investment Prognosen abweichen von den Erwartungen,Investment projections are different from expectations,Incident
Fehlschlagende Shopify-Integration und beeinträchtigte Kampagnenanalyse-Daten,Incorrect Shopify integration and affected campaign analysis data,Incident
Verbesserung von Investment-Analysen mit Google Cloud,Improving investment analyses with Google Cloud,Request
Campagne-Problemate,Campagne-Diblemate,Problem
Informationen zur Rechnungsstellung,Account information,Request
Funktionen für Mittelständische Organisationen,Functions for Inter-Agency Organisations,Request
Anfrage zur Aktualisierung der Markenmaterialien,Request for the updating of the markers,Change
Nötige Unterstützung für Kampagnen,Necessary support for campaigns,Incident
Problematik mit zusammengezahlten Abos,Problem with combined abortions,Incident
Microsoft Teams Firebase-Verbindung Probleme,Microsoft Teams Firebase Connection Problems,Incident
Probleme mit der Datenaufbereitungsoptimization-Software,Problems with data recovery optimisation software,Incident
Hilfe bei Anker-Adapter-Problemen,Help with Anchor Adapter Problems,Incident
Fehler meldung bei Investitionsdatenanalysetool,Error message in investment data analysistool,Incident
Kundenservice digitale Wachstumsstrategien,Customer service Digital growth strategies,Request
Sicherheitskonzepte für medizinische Daten in Mailchimp,Safety concepts for medical data in Mailchimp,Request
Interesse an Integration von Smart-Steckdose in Ihr SaaS Projektmanagement-Tool,Interest in integration of Smart Dose in your SaaS Project Management Tool,Request
Unvorhergesehene Disparitaten bei Gebühren verschiedener Produkte,Unforeseen disparities in various products,Incident
Optimierung von digitalen Strategien mit Evernote und ClickUp,Optimisation of digital strategies with Evernote and ClickUp,Request
Problem mit Rechnungsabweichungen,Problem with account changes,Incident
Frage zur Datensicherheit für medizinische Daten,Question of data safety for medical data,Request
Sichere Systeme für Medizinische Daten,Safe medical data systems,Request
Kontaktiere Anleitungen für digitale Strategien zur Erhöhung der Markenwachstumsrate. Möchten Sie Einblicke und Empfehlungen erhalten?,Contact more guidance for digital strategies to increase the market growth rate. Do you want to receive insights and recommendations?,Request
Problem mit dem Datenaufbereitungssystem beheben,Restrict the problem with the data collection system,Incident
Unterstützung für die Integration von SQL Server,Support for the integration of SQL Server,Request
Beratung zur Datenanalyse für Investitionsoptimierung,Advice on data analysis for investment optimization,Request
Erkundigung über digitale Strategien für das Markenwachstum,Research on digital strategies for market growth,Request
Bericht zur Fehlermeldung des Investment-Daten-Dashboards,Report error on investment data table,Incident
Problem mit der Art der Kampagne-Fehlermeldung,Problem with the type of error message,Problem
Informationen über Rechnungsstellungs Cheney für JIRA,Information about Cheney account settings for JIRA,Request
Integrationskapazitäten für WeChat und WhatsApp Desktop-Benutzerkonto-Unterstützung,Integration capabilities for WeChat and WhatsApp Desktop User Account Support,Request
Technischer Fehler bei Investment-Datenanalyse-Desktop,Technical error in investment data analysis desktop,Problem
Sturz von Digitalem Marketing-Tools,Size of Digital Marketing Tools,Incident
Fehlermeldung bei Software nach macOS-Update,Error message in MacOS update,Incident
Langsame Ladenzeiten bei der Plattform,Long-term loading times on the platform,Problem
Probleme mit Verbindung,Problems with connection,Problem
Probleme durch unkompatiblen Abhängigkeiten,Problems With Incompatibility,Incident
Update der Server-Konfiguration,Server Configuration Update,Change
Probleme bei der Überwachung von Kampagnenmetriken,Problems in monitoring campaign metrics,Incident
Support Service,Support Service,Incident
Langsame Seite-Ladegeschwindigkeit gemeldet,Long side load speed reported,Problem
Sicherheit von Medizindatenlagern,Safety of medical data storage,Request
Anfrage an den Kundendienst wegen unerwarteter Kosten aufgrund fehlerhafter Produktverpackung,Request for customer service for unexpected costs due to miscellaneous product packaging,Incident
Probleme mit dem Analytics-Dashboard für Laravel 8,Problems with the Analytics Dashboard for Laravel 8,Incident
Sichere medizinische Informationen,Safe medical information,Change
Preispläne für skalierbare SaaS-Lösungen für Projektmanagement,Price plans for scaleable SaaS solutions for project management,Request
Fallschirmabonnement-Kostenprobleme,Low display resolution problem,Incident
Probleme mit der Verbindung zum Projektor während der Präsentation,Problems with connection to the projector during the presentation,Incident
-issue Marketing-Kampagne-,-Issue Marketing-Camagne-,Incident
Betreff: Fehlermeldung bei der SaaS-Plattform,Subject: Error message in SaaS platform,Incident
Anfrage zur Sicherheitsfunktionen der Intel Optane Memory H10 für die Verschleierung medizinischer Daten,Request for safety functions of Intel Optine Memory H10 for the sharing of medical data,Request
Versicherung der Sicherheit medizinischer Datendevices,Insurance of the safety of medical dataset services,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Medizinische Datenschutzplanung,Medical data protection plan,Change
Hilfe zur Optimierung des Analyse-Tools,Help with this analysis tool,Incident
Hilfe bei der Integration von Werkzeugen für Projektmanagement,Support for the integration of project management tools,Change
Unterbrochene Synchronisationsfehler bei verschiedenen Integrationen,Aborted Synchronisation Errors in Various Integrations,Incident
Technische Störung gemeldet,Technical Distortion Reported,Incident
Support von Kunde wegen technischen Fehler in Investitionsportfolio-Dashboards,Customer support for technical errors in investment sportsfolio-Dashboards,Incident
Dienstleistungen - Datenanalyse,Services - Data Analysis,Request
Schnelle Optimierung von Investitionen durchführen,Perform rapid optimisation of investments,Request
Hilfe des Kundenservice,Customer Service Support,Request
Technische Mangel bei Finanzanalyse,Technical deficiency in financial analysis,Incident
Differenzen in den Rechnungen aufgrund neuer Tarifänderungen,Differences in the accounts due to new changes in rates,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Unklarheiten bei der Optimierung der Anlagen,Disclosures in optimization of installations,Incident
Strategien zur Förderung des Markengrowths,Strategy to promote the growth of the market,Request
Kundenservice-Anfrage,Customer service request,Incident
Verbesserung von Investitionsanalyse-Tools für Ubuntu 20.04 LTS,Improve investment analysis tools for Ubuntu 20.04 LTS,Request
Software für Datenanalyse mit Integration in Salesforce CRM zur Optimierung von Investitionen,Software for data analysis with integration into Salesforce CRM to optimise investment,Request
Hilfe bei Problemen mit Dienstunterbrechung,Help in Problems With Service Disorders,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Probleme mit verschiedenen Tools,Problems with various tools,Incident
Anfrage für Unterstützung,Application for support,Problem
Probleme mit Investment-Prognosen aufgrund von Dateneingabe-Störung,Problems with investment projections due to data interference,Incident
Verbessern Sie die Sicherheitssysteme für Patientendaten,Improve the safety systems for patient data,Change
Unterstützung bei einem Sicherheitsverletzungsfall,Support in case of security damage,Problem
Unerlauber Zugriff auf Medizindaten-System,Permission denied access to the medical data system,Incident
Datensicherheitsprobleme gemeldet,Data security problem reported,Incident
Hilfe für Krankenhaus-IT-Systeme,Help for Hospital IT Systems,Request
Mismatch in Fakturierungen - Kundensupport,Miscellaneous in invoices - Customer support,Incident
Differenzen in der Software-Lizenzrechnung,Differences in software license,Incident
Langsame Ladespeed der Webseite,Longitude of loading of the web page,Incident
Verbesserung der Markenpräsenz online effektiv,Improving the presence of brands online effectively,Request
Möglichkeiten der Integration zwischen Outlook 2021 und Discord,Options for integration between Outlook 2021 and Discord,Request
Anfrage Unterstützung für Dienststellungsstörungen,Request Support for service interruptions,Change
Unerwartete Unterbrechung der Projektmanagement-Plattform,Unexpected interruption of project management platform,Incident
Sicherheitsprotokolle Verbesserung Anfrage,Security Protocol Improving request,Change
Investment-Daten-Analyse-Dashboard fehlschlägt aufgrund unkompatibler Software-Updates,Investment data analysis Dashboard failed due to incompatible software updates,Problem
Sicherheitsfunktionen des Smart-Roboter-Mopp in der Krankenhausumgebung,Safety functions of the Smart Roboter Mopp in the patient’s environment,Request
Dienstleistungen für Investoren - Datenanalyse,Services for investors - Data analysis,Request
Datensperren in den Krankenhaus-IT-Systemen festgestellt,Data barriers established in hospital IT systems,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Probleme in der Teamkommunikation,Problems in team communication,Incident
Unpräzise Investmentprognosen verursachen Verluste,Inaccurate investment projections caused losses,Problem
Verschlüsselungsfehler meldete sich an,Encryption error reported,Incident
Nötige Unterstützung für die Mehrsprachige WordPress-Benutzung,Necessary support for the use of Multilingual WordPress,Request
Notwendige Wiederherstellung der Dienstleistung,Necessary restoration of the service,Change
Verschlüsselung medizinischer Daten misslingt,Could not close temporary folder: %s,Incident
Anfrage zur Sicherung von Patientendaten auf Apple MacBook Air in Krankenhausumgebungen mit sicheren Datensicherungsmethoden,Request for patient data on Apple MacBook Air in hospitals with safe data protection methods,Request
Dringendes Support-Anliegen: Sicherheitsverletzungsprobleme,Emergency support information: safety damage problems,Problem
Webanalyse-Issue,Webanalyse-Issue,Problem
Problem mit dem Investitionsanalyse-System,Problem with the investment analysis system,Problem
Hilfe bei der Ausbau Ihrer Digitalen Marktgemeinschaft erforderlich,Help in the development of your digital market community,Incident
Bericht über Dienstleistungsdurchbrüche,Report on service interruptions,Incident
Bekanntmachung der Sicherheitsmaßnahmen für Medizindaten,Notification of safety measures for medical data,Request
Verschlüsselung für medizinisches Datenspeicherung,Encryption for medical data storage,Change
Viereinige Systemkonflikte nach dem Aktualisieren auf die neuesten Updates,Four system conflicts after updating to the latest updates,Incident
bestätigte autorisierte Einzugsmöglichkeit medizinischer Akten,confirmation of authorised access to medical documents,Incident
Probleme mit digitalen Marketing-Kampagnen,Problems with digital marketing campaigns,Incident
Verbesserung der Benutzeroberfläche für Projektmanagement-Tools zur Effizienzsteigerung,Improving the user area for project management tools to improve efficiency,Change
Investmentoptimierung,Investment optimisation,Request
Datensperrung sofort durch IT-System des Hospitals festgestellt,Data blocking immediately determined by the hospital's IT system,Incident
Hilfe zur Optimierung von Netgear CM1000 und Oracle Database 19c,Help to optimise Netgaar CM1000 and Oracle Database 19c,Request
Forderung für technische Unterstützung,Requirements for technical assistance,Problem
Probleme mit langsamen Ladenzeiten bei Projekt-Dashboards,Problems with slow loading time at project Dashboards,Problem
Sichere medizinische Daten mit SQL,Secure medical data with SQL,Request
Medizinische Daten unerwartet gestern freigegeben,Unexpected medical data released yesterday,Incident
Bekanntschaft mit dem Kundendienst,Knowledge with the Customer Service,Incident
"Auffällige Zugriffswarnungen in medizinischen Datensystemen bemerkt, aufgrund veralteter Software und schwacher Passwörter.","Obsolete access warnings in medical data systems are noted, due to older software and weak passwords.",Problem
Sicherheitsverletzung im Bereich der Patientenakten,Safety damage in the area of patient acts,Incident
Mangelnde Gebühren in der Monatsrechnung,Non-monthly fees,Incident
Anfrage zur Aktualisierung der Integrationskonfiguration,Request for updating the integration configuration,Change
Plötzliche Verschwindung der digitale Kampagnenanalyse,The sudden disappearance of the digital campaign analysis,Incident
Probleme bei der Webanalyse-Funktion,Problems with Web Analysis Function,Incident
